latitude,longitude,area,azimuth
50.685353,5.550158,17.8,142.2
50.685311,5.551203,20.11,221.35
50.684775,5.541217,13.32,151.54
50.684674,5.548712,21.53,152.29
50.684386,5.553447,40.67,178.74
50.684529,5.553452,73.58,178.39
50.684168,5.548292,31.06,154.8
50.684082,5.549303,25.58,148.48
50.683882,5.553293,27.77,178.32
50.683965,5.553392,247.33,180.0
50.684188,5.553408,158.18,174.59
50.683311,5.540546,18.85,180.0
50.683653,5.558188,15.39,180.0
50.682675,5.541259,55.79,200.67
50.683025,5.541638,27.04,199.8
50.682902,5.550624,25.1,185.19
50.68255,5.551859,24.66,217.19
50.682589,5.5516,18.68,219.35
50.682777,5.553099,30.16,176.08
50.682777,5.557741,34.98,180.0
50.682341,5.541482,96.87,186.77
50.681987,5.548775,77.4,180.0
50.682018,5.550301,12.81,219.49
50.68218,5.549841,27.55,144.88
50.682355,5.550262,23.72,147.49
50.68207,5.55132,22.02,180.0
50.682162,5.551182,37.93,221.47
50.681943,5.55147,18.5,180.0
50.682359,5.551988,36.34,225.0
50.682422,5.558213,38.35,180.0
50.68199,5.559836,35.34,183.76
50.682348,5.559795,41.13,223.38
50.682003,5.5609,19.72,180.0
50.682105,5.560865,40.31,186.44
50.681868,5.56097,24.86,184.07
50.681883,5.541701,17.81,206.57
50.681918,5.541647,35.24,206.57
50.68195,5.541486,28.88,204.15
50.681976,5.54164,17.26,207.86
50.681529,5.541911,48.25,204.52
50.681779,5.542425,11.35,203.02
50.681388,5.546941,49.15,162.95
50.681581,5.547011,104.26,158.71
50.68143,5.548193,24.36,155.84
50.681362,5.549238,27.43,155.53
50.681538,5.548766,27.69,152.68
50.681828,5.548768,220.05,180.0
50.681372,5.550231,36.32,148.59
50.681477,5.5499,39.11,157.26
50.681814,5.550346,21.98,216.48
50.681906,5.551493,15.22,180.0
50.681332,5.552432,15.49,145.05
50.681524,5.552797,32.46,180.0
50.681777,5.552429,24.29,180.0
50.681791,5.552554,16.81,180.0
50.681519,5.557047,43.97,196.16
50.681479,5.5572,10.16,180.0
50.681702,5.558507,12.29,180.0
50.681396,5.560453,19.56,186.51
50.681404,5.559996,34.62,180.0
50.68124,5.561438,24.26,202.39
50.681457,5.560966,40.36,185.25
50.68159,5.561088,14.84,184.94
50.681745,5.561063,18.59,188.34
50.680698,5.654065,20.48,145.42
50.681239,5.548221,18.5,193.63
50.681295,5.548269,18.15,149.82
50.680985,5.553017,37.13,177.13
50.681176,5.553282,18.63,162.86
50.68108,5.557907,49.28,192.38
50.680942,5.559474,60.35,197.35
50.681204,5.559591,44.79,174.12
50.680664,5.560847,13.0,195.95
50.680647,5.560118,50.54,197.14
50.680688,5.560837,12.1,194.04
50.68071,5.560821,11.0,199.47
50.680733,5.560815,11.06,197.74
50.681118,5.56087,18.44,180.0
50.681107,5.560677,39.09,180.0
50.681138,5.560424,33.29,185.95
50.680883,5.56157,100.03,206.94
50.681189,5.561449,17.23,180.0
50.680886,5.561943,13.07,219.35
50.680267,5.554854,31.68,150.38
50.680531,5.55499,43.89,153.43
50.680049,5.559377,14.38,197.04
50.680132,5.560074,39.55,196.52
50.680035,5.561264,38.6,215.32
50.680256,5.561547,40.8,213.96
50.67916,5.657551,32.84,140.17
50.679481,5.552939,12.31,174.98
50.679738,5.554293,12.89,158.73
50.679765,5.554489,30.84,166.37
50.67981,5.554348,22.69,180.0
50.679829,5.554238,33.36,163.02
50.679948,5.555806,11.0,147.49
50.679502,5.556315,36.02,150.6
50.680012,5.556327,34.03,149.9
50.67954,5.558604,14.88,171.25
50.679917,5.559192,14.67,197.14
50.679989,5.559392,25.39,196.98
50.679523,5.561744,59.25,221.54
50.679026,5.542583,10.69,148.59
50.67904,5.542227,19.42,215.94
50.679063,5.542554,28.88,153.16
50.679239,5.542175,34.38,213.77
50.67933,5.542344,41.36,136.74
50.679091,5.543788,26.77,203.33
50.679134,5.546527,17.23,202.94
50.6795,5.54767,11.45,157.8
50.679139,5.549593,15.69,181.79
50.679117,5.552793,25.93,166.81
50.678881,5.553896,11.2,159.52
50.679039,5.553752,74.96,160.37
50.679319,5.553989,37.21,157.87
50.679234,5.55472,36.58,153.52
50.679262,5.558441,27.92,160.08
50.679157,5.560223,14.54,137.22
50.679281,5.560397,13.32,136.17
50.679097,5.562474,10.4,136.17
50.679255,5.562096,34.88,225.0
50.67895,5.563369,25.71,219.32
50.679309,5.562829,18.4,142.82
50.678866,5.564319,27.99,219.98
50.678935,5.564206,13.33,219.77
50.677817,5.657708,11.48,207.32
50.677907,5.662978,10.58,141.84
50.67841,5.539723,14.64,180.0
50.678502,5.54001,25.39,222.78
50.678536,5.553227,17.37,158.74
50.677909,5.537876,24.24,223.32
50.678133,5.537874,17.69,224.85
50.678184,5.539313,26.45,221.54
50.678232,5.539213,21.42,223.71
50.678365,5.539709,18.04,180.0
50.678235,5.540287,20.2,175.58
50.677965,5.541787,11.52,177.08
50.678143,5.553366,19.74,154.93
50.677969,5.557619,79.33,192.38
50.677806,5.55919,35.06,194.74
50.67804,5.56022,21.08,216.59
50.677981,5.561446,35.17,213.96
50.676581,5.661967,22.69,145.78
50.676925,5.662766,15.89,149.64
50.677259,5.538896,13.45,225.0
50.67762,5.539195,22.62,135.69
50.677654,5.539279,31.33,138.4
50.677507,5.542007,10.63,143.69
