latitude,longitude,area,azimuth
50.807663,5.670781,11.84,180.0
50.807625,5.670829,25.05,200.24
50.807183,5.690087,36.35,174.98
50.806387,5.671794,24.77,191.93
50.806477,5.673088,25.62,194.44
50.806531,5.673077,23.75,191.04
50.805598,5.67253,32.24,189.26
50.805884,5.672313,42.79,186.23
50.806024,5.672759,17.88,191.69
50.80551,5.689779,52.66,181.01
50.805528,5.689867,36.38,178.22
50.805331,5.672758,30.77,162.98
50.804983,5.673848,30.5,190.71
50.805136,5.677424,17.31,216.66
50.803772,5.67053,46.3,165.25
50.803992,5.671335,41.24,165.54
50.803501,5.672567,15.91,164.93
50.803511,5.672459,43.48,163.24
50.802278,5.672104,41.08,161.33
50.800281,5.671189,21.15,154.8
50.800022,5.671913,18.16,147.92
50.800137,5.67202,34.59,154.13
50.800028,5.67352,26.21,142.74
50.800154,5.673627,60.64,150.26
50.800208,5.673532,18.67,153.43
50.799986,5.671988,16.12,160.07
50.798875,5.669534,23.89,145.49
50.799039,5.670398,21.49,136.09
50.799121,5.670495,23.83,141.89
50.798817,5.671907,17.56,221.63
50.799224,5.671978,56.09,157.76
50.799152,5.672824,35.13,153.43
50.798287,5.669055,12.76,150.73
50.798577,5.671177,23.73,146.18
50.798637,5.671595,15.49,136.09
50.798613,5.672386,32.63,147.59
50.797669,5.669647,23.62,145.78
50.797869,5.671335,27.18,141.51
50.798004,5.67201,15.9,154.8
50.798148,5.671848,31.31,154.8
50.797103,5.669169,19.06,150.36
50.797569,5.669838,16.86,153.43
50.797425,5.67133,33.76,144.26
50.797327,5.671621,33.13,138.46
50.796483,5.666005,65.18,150.32
50.796781,5.66818,26.4,169.22
50.796379,5.667175,28.92,150.91
50.795258,5.666524,30.8,168.42
50.795566,5.668619,13.41,153.43
50.794717,5.666737,27.44,154.45
50.795063,5.666823,31.27,167.8
50.794094,5.666171,28.41,154.41
50.794134,5.666061,23.8,155.28
50.79419,5.665917,27.18,153.43
50.794047,5.666636,35.3,159.94
50.794053,5.667874,55.87,178.18
50.793468,5.663258,13.52,149.43
50.793649,5.663444,18.17,148.11
50.79374,5.663607,14.92,148.59
50.793419,5.666773,20.32,162.86
50.793384,5.671917,34.24,171.12
50.793331,5.663117,10.72,147.88
50.792756,5.670425,16.61,162.32
50.792506,5.690384,17.48,180.0
50.79237,5.664047,133.44,155.91
50.79266,5.664,63.36,156.8
50.792637,5.666409,16.65,146.84
50.792255,5.667402,13.02,180.0
50.792602,5.666943,23.54,154.8
50.792463,5.69039,17.78,177.69
50.791603,5.664782,54.75,151.01
50.791868,5.681488,12.6,151.21
50.791324,5.666941,25.15,159.38
50.791331,5.667593,12.41,162.26
50.790431,5.66643,13.83,158.11
50.790767,5.67088,33.4,177.64
50.789886,5.664312,21.9,180.0
50.790154,5.664615,20.21,158.45
50.78942,5.666486,15.42,180.0
50.789475,5.666493,21.2,172.15
50.787269,5.663438,18.29,148.34
50.786267,5.662558,16.32,180.0
50.786627,5.662769,30.97,159.66
50.785432,5.692347,16.06,180.0
50.78544,5.693163,24.28,180.0
50.785446,5.693052,22.27,180.0
50.785207,5.693553,21.69,182.13
50.785476,5.693539,20.08,177.41
50.785164,5.663929,17.37,180.0
50.78521,5.663813,11.73,141.02
50.784127,5.6603,38.79,155.4
50.783796,5.689661,21.27,205.2
50.783846,5.689686,15.73,221.47
50.78367,5.695587,38.97,157.97
50.783304,5.696525,10.89,176.72
50.78383,5.696432,31.0,180.0
50.783614,5.66097,37.68,171.57
50.783101,5.662255,32.51,180.0
50.783586,5.663284,31.85,143.45
50.782888,5.694509,30.85,168.42
50.783191,5.694907,39.26,165.1
50.782782,5.69537,12.08,162.26
50.783149,5.695443,35.66,164.16
50.783124,5.69656,19.56,180.0
50.783247,5.696521,23.65,176.52
50.782954,5.662085,37.47,160.07
50.782466,5.695288,15.39,169.33
50.781916,5.657913,15.64,142.85
50.781948,5.657974,18.0,145.2
50.782148,5.659257,31.37,213.96
50.781913,5.660379,92.73,187.19
50.782176,5.660352,28.57,208.51
50.781939,5.660673,178.65,188.21
50.782192,5.66069,40.2,215.31
50.782354,5.662269,34.05,153.43
50.782422,5.662207,24.6,151.12
50.782112,5.663263,14.38,150.64
50.781937,5.664572,21.39,160.02
50.781771,5.692841,103.13,166.37
50.78184,5.69241,76.64,165.56
50.781616,5.695754,17.04,180.0
50.781667,5.695895,22.61,176.54
50.781689,5.695956,21.43,181.36
50.781624,5.664901,33.82,161.14
50.78114,5.694056,15.86,176.31
50.781155,5.657537,25.15,218.49
50.780719,5.6584,30.7,143.29
50.781111,5.658077,38.12,136.18
50.780733,5.693598,46.18,158.72
50.780275,5.654633,21.53,177.87
50.780267,5.654821,66.63,177.57
50.780339,5.655549,27.05,146.99
50.780376,5.656232,20.9,156.11
50.780407,5.656276,10.99,154.8
50.78041,5.659419,20.93,154.47
50.78045,5.659333,29.58,148.15
50.780151,5.659898,26.54,151.01
50.780367,5.660125,43.37,147.38
50.780236,5.69442,32.78,168.19
50.779699,5.695857,32.53,158.46
50.779826,5.695351,12.54,167.06
50.779616,5.65453,27.0,154.8
50.778621,5.693001,33.76,162.86
50.778738,5.692189,16.62,175.79
50.778903,5.692915,49.34,162.07
50.778435,5.6961,20.89,180.0
50.778182,5.695247,16.6,159.15
50.778196,5.695329,11.76,162.26
50.778404,5.696109,10.47,180.0
50.777694,5.693827,18.87,154.8
50.777315,5.694616,31.49,167.36
50.777486,5.694255,28.55,214.22
50.776895,5.692981,10.48,180.0
50.776943,5.692955,21.23,160.84
50.776858,5.693108,64.63,158.09
50.776911,5.693028,16.39,180.0
50.776194,5.69293,24.33,159.15
50.776417,5.69257,13.06,153.9
50.776606,5.692654,16.04,146.36
50.775917,5.692543,11.33,180.0
50.775382,5.691688,43.03,154.13
50.775388,5.692569,42.64,180.0
50.771959,5.690132,22.05,152.73
50.771397,5.689651,32.92,151.46
50.771728,5.689918,25.3,151.01
50.770244,5.629912,28.39,197.37
50.770088,5.634892,12.99,187.77
50.770101,5.63503,29.95,180.0
50.769735,5.62915,24.38,140.02
50.769776,5.62922,22.39,139.18
50.769393,5.636829,14.02,209.28
50.769641,5.641449,13.79,149.97
50.768909,5.628883,53.57,144.72
50.768794,5.630839,12.16,180.0
50.769119,5.634334,20.89,208.83
50.769039,5.639718,19.6,160.2
50.768595,5.686688,15.51,149.31
50.768443,5.62983,23.1,207.28
50.768775,5.630843,15.57,180.0
50.768577,5.63511,17.52,220.72
50.768423,5.635801,34.37,200.96
50.767949,5.678013,15.11,203.2
50.767749,5.686731,38.84,151.3
50.767987,5.632923,29.23,210.92
50.767562,5.633571,12.45,201.76
50.767883,5.634454,22.06,220.06
50.767986,5.639035,12.64,206.43
50.767045,5.686414,49.14,148.15
50.767085,5.688245,31.16,161.57
50.767152,5.624042,23.92,217.17
50.767469,5.632408,20.13,175.24
50.767486,5.632588,15.57,180.0
50.767339,5.634778,30.97,175.02
50.767014,5.636891,45.46,180.0
50.767265,5.636563,11.39,212.54
50.767195,5.637359,33.05,207.26
50.767227,5.637519,23.51,200.37
50.766727,5.673986,12.06,215.95
50.766577,5.6762,12.08,153.71
50.766597,5.684338,23.52,135.96
50.766993,5.621789,22.53,197.68
50.766681,5.623255,19.45,157.87
50.766931,5.623455,16.12,200.49
50.766964,5.623534,12.87,164.4
50.766499,5.632677,38.09,135.94
50.766576,5.632776,41.46,223.85
50.766663,5.634865,12.79,174.66
50.766686,5.634879,11.97,164.9
50.766713,5.634888,12.26,167.14
50.766754,5.634895,10.46,174.92
50.766357,5.637793,63.05,213.69
50.766765,5.637483,12.51,206.57
50.766423,5.673302,10.61,152.1
50.765903,5.68355,27.78,138.53
50.765833,5.684484,33.99,153.43
50.765987,5.684085,18.35,180.0
50.766814,5.577992,12.26,180.0
50.766824,5.578235,37.26,206.5
50.766829,5.577943,35.88,164.35
50.766152,5.621926,14.66,165.1
50.766175,5.622263,11.52,222.1
50.766023,5.632229,21.3,213.11
50.766225,5.632637,21.82,217.46
50.766228,5.633287,14.27,205.87
50.765791,5.672711,23.65,189.97
50.765346,5.68491,65.72,151.73
50.765171,5.629223,28.67,200.2
50.765328,5.628689,14.11,164.64
50.765573,5.630663,19.77,206.8
50.765436,5.635769,11.71,213.69
50.76514,5.675201,32.69,159.15
50.765191,5.67498,12.77,169.26
50.765128,5.684835,12.51,145.58
50.765035,5.685059,26.69,145.34
50.764838,5.623367,25.39,207.9
50.764737,5.627288,33.0,209.36
50.764834,5.627155,23.46,207.9
50.764833,5.627593,23.96,206.66
50.764908,5.627823,45.85,207.69
50.764617,5.628726,13.94,205.87
50.76465,5.62884,15.2,196.34
50.765065,5.628408,14.67,208.2
50.764206,5.671396,20.49,221.63
50.764199,5.682538,19.32,147.77
50.764256,5.6826,17.28,149.55
50.764373,5.682173,44.73,143.0
50.764411,5.682753,21.74,137.75
50.764007,5.683572,13.6,144.42
50.764148,5.683464,15.9,146.58
50.764381,5.684511,54.49,160.81
50.764118,5.623781,30.22,210.45
50.764386,5.623649,26.98,207.9
50.764024,5.626148,26.58,170.94
50.763973,5.627259,17.18,201.28
50.764303,5.627194,30.74,200.58
50.764087,5.627787,43.57,182.9
50.764354,5.627481,16.81,199.5
50.764411,5.627819,18.05,185.55
50.76441,5.627702,25.16,179.14
50.76402,5.628635,33.0,180.0
50.763859,5.671254,10.66,221.73
50.763768,5.680721,10.69,172.45
50.763806,5.614038,10.28,220.38
50.763892,5.613972,37.2,221.36
50.763432,5.625316,25.03,203.43
50.763766,5.624946,31.35,207.9
50.763754,5.62642,20.62,202.74
50.762856,5.674949,23.92,216.58
50.7633,5.622768,25.11,217.92
50.763096,5.624843,23.07,214.54
50.762314,5.668202,19.04,182.52
50.762753,5.614077,11.39,205.07
50.76274,5.615355,11.55,206.29
50.762735,5.615218,17.71,205.53
50.762169,5.668375,11.28,220.48
50.762236,5.66838,15.18,160.74
50.761677,5.673704,14.4,158.89
50.761747,5.673451,14.01,160.84
50.762071,5.601767,17.87,225.0
50.761722,5.610046,14.88,203.75
50.762043,5.612338,47.13,146.67
50.762175,5.612339,27.55,137.18
50.761773,5.61897,11.97,216.27
50.761566,5.674136,14.35,162.74
50.761361,5.674984,94.67,158.07
50.761518,5.680641,17.85,180.0
50.761361,5.681276,21.54,162.06
50.761223,5.603189,18.51,156.8
50.761566,5.602646,13.11,135.17
50.761637,5.60988,21.02,209.48
50.761301,5.614907,48.82,140.08
50.7613,5.625985,33.49,221.54
50.760796,5.675571,18.01,160.31
50.760345,5.680471,11.26,180.0
50.760366,5.680404,19.83,180.0
50.760363,5.680323,22.65,203.64
50.760476,5.680508,13.07,180.0
50.760705,5.680271,44.04,170.11
50.760844,5.602848,13.45,141.89
50.761091,5.603432,27.28,137.59
50.760828,5.618395,20.52,217.61
50.760094,5.605569,25.69,159.78
50.760364,5.607991,10.27,215.11
50.7603,5.614379,17.07,223.11
50.75989,5.660971,17.79,159.25
50.756458,5.936543,11.13,198.99
50.759657,5.610123,11.1,180.0
50.759389,5.615575,10.11,188.34
50.759447,5.615669,15.66,218.1
50.759279,5.615831,31.56,215.26
50.759342,5.615919,16.83,221.33
50.759076,5.66145,10.79,164.12
50.759116,5.66146,14.49,171.66
50.759143,5.661373,21.33,161.33
50.758549,5.680259,38.29,157.6
50.755541,5.965224,19.43,154.41
50.754245,6.020877,12.89,193.58
50.759207,5.590371,39.54,180.0
50.759097,5.591844,36.24,182.01
50.758849,5.596446,13.38,176.05
50.759074,5.59913,30.23,143.39
50.759237,5.59945,40.55,143.54
50.758814,5.608579,13.06,149.14
50.759083,5.610429,59.68,208.35
50.759243,5.610079,20.13,213.69
50.758688,5.612282,12.88,136.5
50.75871,5.612314,12.69,138.46
50.758137,5.662878,36.62,225.0
50.758051,5.680536,32.51,164.97
50.758707,5.592394,20.23,180.0
50.758395,5.594471,29.33,174.98
50.758428,5.594809,11.23,171.78
50.758442,5.59534,23.36,172.15
50.758583,5.596004,24.43,172.66
50.758438,5.598116,34.26,175.33
50.757509,5.662154,17.15,182.22
50.75763,5.673811,17.56,161.29
50.75743,5.679495,17.2,166.37
50.75778,5.680258,37.57,166.83
50.754147,5.965266,101.07,183.6
50.753714,5.96826,10.28,214.67
50.753774,5.968194,20.54,211.22
50.753523,6.002211,150.28,208.06
50.758575,5.531642,35.81,158.73
50.758434,5.54587,20.19,197.68
50.758045,5.594357,24.09,173.11
50.75808,5.594738,19.2,174.43
50.75814,5.595442,28.12,170.94
50.757759,5.607222,45.51,138.69
50.757472,5.610548,11.19,216.44
50.757491,5.610518,10.5,216.78
50.757975,5.610767,21.35,181.32
50.757268,5.662163,25.26,182.78
50.756924,5.664095,65.3,167.62
50.757128,5.667286,11.64,150.73
50.756904,5.672918,44.81,137.25
50.757889,5.526802,13.0,153.43
50.757736,5.533454,23.88,174.83
50.757595,5.537337,27.45,173.1
50.757191,5.59561,19.48,189.52
50.75719,5.598133,29.36,170.15
50.756914,5.60607,21.49,169.28
50.757082,5.606499,10.17,216.5
50.757207,5.606666,21.62,219.03
50.75731,5.606913,27.36,224.17
50.756887,5.611125,21.09,142.61
50.757025,5.610886,14.19,222.37
50.757366,5.611213,25.68,205.53
50.756731,5.663493,45.29,162.93
50.756324,5.664198,25.06,216.27
50.756558,5.673452,12.5,186.92
50.756566,5.673411,12.41,225.0
50.752137,6.00064,30.51,180.0
50.752283,6.000645,30.69,163.11
50.752403,6.000808,31.99,145.78
50.752541,6.000833,28.02,138.26
50.752244,6.018851,25.66,218.3
50.757438,5.535886,43.59,173.1
50.757273,5.536457,20.0,152.42
50.757279,5.536662,16.8,140.08
50.757312,5.536557,25.71,135.78
50.757323,5.536358,20.7,146.87
50.757341,5.536697,16.61,147.53
50.757432,5.53677,11.73,180.0
50.757115,5.539666,11.21,180.0
50.757126,5.539576,33.29,176.83
50.757473,5.539056,38.5,173.3
50.757056,5.540081,53.61,176.05
50.757368,5.540371,15.95,188.99
50.757341,5.540965,13.77,160.2
50.757067,5.544188,19.25,153.43
50.756764,5.592488,10.3,191.58
50.756773,5.592176,19.08,160.1
50.756903,5.592112,10.9,191.7
50.756434,5.59303,12.44,193.17
50.756603,5.597225,34.52,175.74
50.756662,5.611833,31.66,213.51
